project_id,sent_to_crc_date,project_size,source,status
1000001,2021-05-09,Small,simulated_future_projects,Future
1000002,2021-05-05,Large,simulated_future_projects,Future
1000003,2021-01-24,Small,simulated_future_projects,Future
1000004,2021-02-16,Large,simulated_future_projects,Future
1000005,2022-09-14,Small,simulated_future_projects,Future
1000006,2021-05-12,Small,simulated_future_projects,Future
1000007,2023-07-08,Small,simulated_future_projects,Future
1000008,2022-01-07,Very Large,simulated_future_projects,Future
1000009,2022-02-14,Large,simulated_future_projects,Future
1000010,2022-04-26,Small,simulated_future_projects,Future
1000011,2023-02-03,Large,simulated_future_projects,Future
1000012,2023-07-29,Small,simulated_future_projects,Future
1000013,2021-12-29,Small,simulated_future_projects,Future
1000014,2022-04-16,Small,simulated_future_projects,Future
1000015,2021-07-07,Very Large,simulated_future_projects,Future
1000016,2021-06-26,Small,simulated_future_projects,Future
1000017,2022-08-30,Small,simulated_future_projects,Future
1000018,2021-10-26,Small,simulated_future_projects,Future
1000019,2022-05-26,Small,simulated_future_projects,Future
1000020,2021-05-16,Small,simulated_future_projects,Future
1000021,2021-01-23,Small,simulated_future_projects,Future
1000022,2022-03-30,Small,simulated_future_projects,Future
1000023,2022-08-20,Small,simulated_future_projects,Future
1000024,2022-05-21,Small,simulated_future_projects,Future
1000025,2022-05-15,Small,simulated_future_projects,Future
1000026,2021-08-27,Small,simulated_future_projects,Future
1000027,2021-04-02,Small,simulated_future_projects,Future
1000028,2022-06-08,Small,simulated_future_projects,Future
1000029,2022-07-11,Small,simulated_future_projects,Future
1000030,2022-01-15,Small,simulated_future_projects,Future
1000031,2021-02-22,Small,simulated_future_projects,Future
1000032,2021-12-26,Small,simulated_future_projects,Future
1000033,2021-03-14,Small,simulated_future_projects,Future
1000034,2024-01-19,Small,simulated_future_projects,Future
1000035,2021-11-12,Small,simulated_future_projects,Future
1000036,2027-05-09,Small,simulated_future_projects,Future
1000037,2023-03-04,Small,simulated_future_projects,Future
1000038,2021-11-15,Small,simulated_future_projects,Future
1000039,2021-04-26,Large,simulated_future_projects,Future
1000040,2021-05-04,Small,simulated_future_projects,Future
1000041,2022-11-18,Small,simulated_future_projects,Future
1000042,2022-01-11,Small,simulated_future_projects,Future
1000043,2021-05-24,Small,simulated_future_projects,Future
1000044,2021-08-29,Small,simulated_future_projects,Future
1000045,2021-11-17,Small,simulated_future_projects,Future
1000046,2021-03-22,Small,simulated_future_projects,Future
1000047,2023-11-14,Small,simulated_future_projects,Future
1000048,2021-09-09,Small,simulated_future_projects,Future
1000049,2021-10-02,Small,simulated_future_projects,Future
1000050,2022-11-03,Small,simulated_future_projects,Future
1000051,2021-03-18,Small,simulated_future_projects,Future
1000052,2021-07-22,Small,simulated_future_projects,Future
1000053,2021-05-24,Small,simulated_future_projects,Future
1000054,2023-08-20,Small,simulated_future_projects,Future
1000055,2022-12-06,Small,simulated_future_projects,Future
1000056,2021-06-11,Small,simulated_future_projects,Future
1000057,2021-06-08,Small,simulated_future_projects,Future
1000058,2021-03-22,Large,simulated_future_projects,Future
1000059,2022-06-16,Large,simulated_future_projects,Future
1000060,2021-10-23,Small,simulated_future_projects,Future
1000061,2023-02-11,Large,simulated_future_projects,Future
1000062,2022-12-30,Large,simulated_future_projects,Future
1000063,2021-11-08,Small,simulated_future_projects,Future
1000064,2021-03-17,Small,simulated_future_projects,Future
1000065,2021-10-31,Small,simulated_future_projects,Future
1000066,2023-02-16,Small,simulated_future_projects,Future
1000067,2021-11-07,Small,simulated_future_projects,Future
1000068,2021-06-20,Small,simulated_future_projects,Future
1000069,2021-04-11,Small,simulated_future_projects,Future
1000070,2021-04-22,Small,simulated_future_projects,Future
1000071,2022-04-02,Small,simulated_future_projects,Future
1000072,2023-06-10,Small,simulated_future_projects,Future
1000073,2023-08-11,Small,simulated_future_projects,Future
1000074,2021-09-09,Small,simulated_future_projects,Future
1000075,2021-08-25,Very Large,simulated_future_projects,Future
1000076,2026-12-16,Small,simulated_future_projects,Future
1000077,2021-03-17,Small,simulated_future_projects,Future
1000078,2021-03-21,Large,simulated_future_projects,Future
1000079,2022-04-13,Small,simulated_future_projects,Future
1000080,2021-12-09,Small,simulated_future_projects,Future
1000081,2023-01-19,Small,simulated_future_projects,Future
1000082,2022-09-04,Small,simulated_future_projects,Future
1000083,2022-03-17,Small,simulated_future_projects,Future
1000084,2022-02-17,Small,simulated_future_projects,Future
1000085,2028-01-06,Very Large,simulated_future_projects,Future
1000086,2022-01-31,Small,simulated_future_projects,Future
1000087,2022-01-26,Small,simulated_future_projects,Future
1000088,2021-12-05,Small,simulated_future_projects,Future
1000089,2024-10-20,Small,simulated_future_projects,Future
1000090,2021-07-29,Small,simulated_future_projects,Future
1000091,2022-02-03,Small,simulated_future_projects,Future
1000092,2021-04-29,Small,simulated_future_projects,Future
1000093,2021-06-06,Large,simulated_future_projects,Future
1000094,2021-07-07,Small,simulated_future_projects,Future
1000095,2022-04-21,Small,simulated_future_projects,Future
1000096,2023-10-15,Large,simulated_future_projects,Future
1000097,2022-04-19,Small,simulated_future_projects,Future
1000098,2026-06-29,Small,simulated_future_projects,Future
1000099,2023-03-13,Small,simulated_future_projects,Future
1000100,2021-04-13,Small,simulated_future_projects,Future
1000101,2022-03-05,Small,simulated_future_projects,Future
1000102,2021-12-15,Small,simulated_future_projects,Future
1000103,2023-01-31,Large,simulated_future_projects,Future
1000104,2021-05-12,Small,simulated_future_projects,Future
1000105,2022-06-09,Small,simulated_future_projects,Future
1000106,2025-02-28,Small,simulated_future_projects,Future
1000107,2022-03-25,Small,simulated_future_projects,Future
1000108,2021-12-16,Small,simulated_future_projects,Future
1000109,2021-09-04,Small,simulated_future_projects,Future
