project_id,sent_to_crc_date,project_size,source,status
165850,2021-05-23,Small,pre_crc,pre_crc
165690,2021-08-02,Small,pre_crc,pre_crc
165470,2021-02-12,Small,pre_crc,pre_crc
165479,2021-02-11,Small,pre_crc,pre_crc
160227,2021-04-01,Small,pre_crc,pre_crc
145278,2022-05-10,Large,pre_crc,pre_crc
81940,2021-08-09,Small,pre_crc,pre_crc
106745,2021-04-18,Small,pre_crc,pre_crc
62868,2021-06-26,Small,pre_crc,pre_crc
82697,2021-02-13,Small,pre_crc,pre_crc
82698,2021-09-05,Small,pre_crc,pre_crc
82731,2021-05-25,Small,pre_crc,pre_crc
82740,2021-08-11,Small,pre_crc,pre_crc
82800,2023-01-16,Small,pre_crc,pre_crc
117182,2021-07-12,Small,pre_crc,pre_crc
106736,2021-07-08,Small,pre_crc,pre_crc
106441,2021-11-24,Small,pre_crc,pre_crc
129989,2021-05-07,Large,pre_crc,pre_crc
78274,2021-03-16,Small,pre_crc,pre_crc
79016,2021-04-26,Small,pre_crc,pre_crc
78902,2022-02-12,Small,pre_crc,pre_crc
65783,2021-05-05,Small,pre_crc,pre_crc
63152,2021-03-09,Very Large,pre_crc,pre_crc
82687,2021-04-22,Small,pre_crc,pre_crc
82690,2021-02-06,Small,pre_crc,pre_crc
133055,2021-01-29,Small,pre_crc,pre_crc
132232,2021-04-25,Small,pre_crc,pre_crc
85674,2022-11-01,Small,pre_crc,pre_crc
84704,2021-07-31,Small,pre_crc,pre_crc
83911,2021-07-02,Small,pre_crc,pre_crc
83825,2021-09-12,Small,pre_crc,pre_crc
83735,2021-01-26,Small,pre_crc,pre_crc
83731,2021-03-14,Small,pre_crc,pre_crc
80017,2021-08-24,Small,pre_crc,pre_crc
79977,2021-02-22,Small,pre_crc,pre_crc
78876,2021-07-06,Large,pre_crc,pre_crc
80260,2021-03-10,Small,pre_crc,pre_crc
80261,2021-05-19,Small,pre_crc,pre_crc
80267,2021-05-23,Small,pre_crc,pre_crc
80263,2021-02-27,Small,pre_crc,pre_crc
107047,2021-07-16,Small,pre_crc,pre_crc
108124,2021-07-07,Small,pre_crc,pre_crc
110144,2021-08-20,Small,pre_crc,pre_crc
109613,2021-08-13,Small,pre_crc,pre_crc
109831,2021-04-21,Small,pre_crc,pre_crc
109112,2021-03-10,Small,pre_crc,pre_crc
106138,2021-08-20,Small,pre_crc,pre_crc
122755,2021-07-02,Small,pre_crc,pre_crc
132835,2021-04-14,Small,pre_crc,pre_crc
119053,2021-12-15,Small,pre_crc,pre_crc
119051,2021-03-30,Small,pre_crc,pre_crc
119048,2022-01-12,Small,pre_crc,pre_crc
119043,2022-07-02,Small,pre_crc,pre_crc
119509,2021-04-21,Small,pre_crc,pre_crc
119425,2021-04-27,Small,pre_crc,pre_crc
119426,2021-06-29,Small,pre_crc,pre_crc
119428,2021-02-23,Small,pre_crc,pre_crc
120331,2021-03-11,Small,pre_crc,pre_crc
120248,2021-07-20,Small,pre_crc,pre_crc
120353,2021-05-27,Small,pre_crc,pre_crc
115875,2021-02-03,Small,pre_crc,pre_crc
167334,2021-07-20,Small,pre_crc,pre_crc
167335,2021-03-01,Small,pre_crc,pre_crc
167344,2021-10-05,Small,pre_crc,pre_crc
167345,2023-03-24,Small,pre_crc,pre_crc
167346,2021-03-31,Small,pre_crc,pre_crc
167347,2022-04-13,Small,pre_crc,pre_crc
167349,2021-07-25,Small,pre_crc,pre_crc
144788,2021-06-02,Small,pre_crc,pre_crc
145595,2021-06-06,Small,pre_crc,pre_crc
145711,2021-11-09,Small,pre_crc,pre_crc
145463,2022-02-03,Small,pre_crc,pre_crc
145465,2022-05-12,Small,pre_crc,pre_crc
146951,2021-03-07,Small,pre_crc,pre_crc
146955,2021-03-24,Small,pre_crc,pre_crc
146961,2021-01-28,Small,pre_crc,pre_crc
146721,2021-03-18,Small,pre_crc,pre_crc
146032,2021-10-04,Small,pre_crc,pre_crc
148281,2021-06-02,Small,pre_crc,pre_crc
148813,2022-04-18,Small,pre_crc,pre_crc
147430,2021-03-24,Small,pre_crc,pre_crc
151364,2021-07-04,Small,pre_crc,pre_crc
152333,2021-06-03,Small,pre_crc,pre_crc
156687,2021-01-29,Small,pre_crc,pre_crc
156690,2022-01-29,Small,pre_crc,pre_crc
136221,2021-06-01,Large,pre_crc,pre_crc
136224,2021-10-07,Small,pre_crc,pre_crc
136168,2021-08-10,Small,pre_crc,pre_crc
136142,2021-08-28,Small,pre_crc,pre_crc
136312,2021-12-30,Small,pre_crc,pre_crc
136313,2021-07-08,Small,pre_crc,pre_crc
136245,2021-04-03,Small,pre_crc,pre_crc
136280,2021-07-10,Small,pre_crc,pre_crc
136310,2021-03-03,Small,pre_crc,pre_crc
136420,2021-05-11,Small,pre_crc,pre_crc
136422,2021-03-04,Small,pre_crc,pre_crc
136423,2021-04-03,Small,pre_crc,pre_crc
136424,2021-02-23,Small,pre_crc,pre_crc
136425,2021-02-10,Small,pre_crc,pre_crc
136426,2021-03-18,Small,pre_crc,pre_crc
136427,2021-11-27,Small,pre_crc,pre_crc
136564,2021-04-14,Small,pre_crc,pre_crc
136758,2021-04-03,Small,pre_crc,pre_crc
136740,2021-03-23,Small,pre_crc,pre_crc
136736,2021-08-13,Small,pre_crc,pre_crc
136724,2022-04-07,Small,pre_crc,pre_crc
136726,2021-02-21,Small,pre_crc,pre_crc
136727,2022-02-01,Small,pre_crc,pre_crc
136728,2021-04-22,Small,pre_crc,pre_crc
136729,2021-05-25,Small,pre_crc,pre_crc
136732,2021-10-05,Small,pre_crc,pre_crc
137037,2021-11-17,Large,pre_crc,pre_crc
136983,2021-01-26,Small,pre_crc,pre_crc
135921,2021-02-09,Small,pre_crc,pre_crc
135922,2021-09-10,Small,pre_crc,pre_crc
135923,2021-05-17,Small,pre_crc,pre_crc
135951,2021-04-01,Small,pre_crc,pre_crc
135947,2021-01-31,Small,pre_crc,pre_crc
135990,2021-02-24,Small,pre_crc,pre_crc
135955,2021-03-10,Small,pre_crc,pre_crc
135130,2021-02-27,Small,pre_crc,pre_crc
135127,2021-05-22,Small,pre_crc,pre_crc
135392,2021-10-27,Small,pre_crc,pre_crc
135395,2021-06-30,Small,pre_crc,pre_crc
135374,2021-01-23,Small,pre_crc,pre_crc
135369,2021-02-18,Small,pre_crc,pre_crc
135365,2022-07-09,Small,pre_crc,pre_crc
138906,2021-09-01,Large,pre_crc,pre_crc
138659,2021-02-03,Small,pre_crc,pre_crc
138660,2021-08-03,Small,pre_crc,pre_crc
138676,2021-03-04,Small,pre_crc,pre_crc
138677,2021-08-13,Small,pre_crc,pre_crc
138996,2021-03-23,Large,pre_crc,pre_crc
138976,2021-03-23,Small,pre_crc,pre_crc
139093,2021-02-07,Small,pre_crc,pre_crc
139242,2021-06-17,Small,pre_crc,pre_crc
139231,2021-02-14,Small,pre_crc,pre_crc
139177,2021-02-05,Small,pre_crc,pre_crc
139179,2021-12-26,Small,pre_crc,pre_crc
139181,2021-05-28,Small,pre_crc,pre_crc
139182,2021-04-16,Small,pre_crc,pre_crc
139325,2021-07-08,Small,pre_crc,pre_crc
139246,2022-01-24,Small,pre_crc,pre_crc
139253,2021-08-02,Small,pre_crc,pre_crc
139515,2021-02-25,Small,pre_crc,pre_crc
139518,2021-06-01,Small,pre_crc,pre_crc
139502,2021-04-24,Small,pre_crc,pre_crc
138372,2021-03-27,Small,pre_crc,pre_crc
138347,2021-10-27,Small,pre_crc,pre_crc
