simulated_period,simulated_disaster,year,month,day,date,region,pa_projects
1,1,2021,1,24,2021-01-24,5,355
1,2,2021,2,10,2021-02-10,8,83
1,3,2021,2,16,2021-02-16,6,96
1,4,2021,2,19,2021-02-19,6,406
1,5,2021,3,5,2021-03-05,10,115
1,6,2021,3,18,2021-03-18,10,160
1,7,2021,3,19,2021-03-19,6,39
1,8,2021,3,30,2021-03-30,6,223
1,9,2021,3,31,2021-03-31,4,1782
1,10,2021,3,31,2021-03-31,6,68
1,11,2021,3,31,2021-03-31,6,544
1,12,2021,4,4,2021-04-04,5,593
1,13,2021,4,12,2021-04-12,1,234
1,14,2021,4,17,2021-04-17,4,106
1,15,2021,4,23,2021-04-23,7,111
1,16,2021,5,4,2021-05-04,2,792
1,17,2021,5,20,2021-05-20,5,474
1,18,2021,5,23,2021-05-23,4,815
1,19,2021,6,1,2021-06-01,2,1355
1,20,2021,6,15,2021-06-15,3,49
1,21,2021,6,23,2021-06-23,7,160
1,22,2021,7,6,2021-07-06,4,141
1,23,2021,7,7,2021-07-07,5,363
1,24,2021,7,19,2021-07-19,7,0
1,25,2021,7,21,2021-07-21,8,2631
1,26,2021,7,24,2021-07-24,1,542
1,27,2021,8,2,2021-08-02,2,1113
1,28,2021,8,5,2021-08-05,7,740
1,29,2021,8,6,2021-08-06,9,24
1,30,2021,8,8,2021-08-08,5,193
1,31,2021,8,10,2021-08-10,10,65
1,32,2021,8,13,2021-08-13,4,131
1,33,2021,8,14,2021-08-14,3,783
1,34,2021,8,20,2021-08-20,4,2223
1,35,2021,8,25,2021-08-25,5,251
1,36,2021,8,26,2021-08-26,9,99
1,37,2021,8,27,2021-08-27,4,9
1,38,2021,8,29,2021-08-29,2,688
1,39,2021,9,7,2021-09-07,9,678
1,40,2021,9,8,2021-09-08,9,511
1,41,2021,9,16,2021-09-16,9,60
1,42,2021,9,19,2021-09-19,10,61
1,43,2021,9,25,2021-09-25,6,617
1,44,2021,10,9,2021-10-09,7,38
1,45,2021,10,11,2021-10-11,7,62
1,46,2021,10,16,2021-10-16,8,149
1,47,2021,10,26,2021-10-26,1,57
1,48,2021,10,28,2021-10-28,7,239
1,49,2021,11,26,2021-11-26,10,95
1,50,2021,12,10,2021-12-10,7,141
1,51,2022,1,7,2022-01-07,5,242
1,52,2022,1,7,2022-01-07,10,37
1,53,2022,1,13,2022-01-13,10,55
1,54,2022,1,16,2022-01-16,3,1058
2,55,2021,1,24,2021-01-24,2,220
2,56,2021,1,26,2021-01-26,2,28
2,57,2021,1,28,2021-01-28,3,27
2,58,2021,2,6,2021-02-06,4,545
2,59,2021,2,9,2021-02-09,5,1490
2,60,2021,2,11,2021-02-11,8,43
2,61,2021,2,13,2021-02-13,4,127
2,62,2021,2,19,2021-02-19,5,120
2,63,2021,3,11,2021-03-11,9,381
2,64,2021,3,28,2021-03-28,2,171
2,65,2021,4,9,2021-04-09,4,947
2,66,2021,4,13,2021-04-13,7,186
2,67,2021,4,21,2021-04-21,8,23
2,68,2021,4,22,2021-04-22,4,790
2,69,2021,4,23,2021-04-23,8,378
2,70,2021,4,26,2021-04-26,4,235
2,71,2021,4,26,2021-04-26,9,17
2,72,2021,5,11,2021-05-11,5,0
2,73,2021,5,14,2021-05-14,3,464
2,74,2021,5,15,2021-05-15,9,66
2,75,2021,5,21,2021-05-21,2,490
2,76,2021,5,22,2021-05-22,4,33
2,77,2021,5,27,2021-05-27,6,66
2,78,2021,6,1,2021-06-01,5,6969
2,79,2021,6,17,2021-06-17,3,34
2,80,2021,6,25,2021-06-25,4,293
2,81,2021,6,29,2021-06-29,10,3
2,82,2021,7,10,2021-07-10,5,3087
2,83,2021,7,14,2021-07-14,3,68
2,84,2021,7,18,2021-07-18,6,1232
2,85,2021,8,8,2021-08-08,6,1804
2,86,2021,8,11,2021-08-11,5,794
2,87,2021,8,20,2021-08-20,5,1109
2,88,2021,8,31,2021-08-31,6,2261
2,89,2021,9,5,2021-09-05,5,13738
2,90,2021,9,6,2021-09-06,10,74
2,91,2021,9,13,2021-09-13,9,153
2,92,2021,9,20,2021-09-20,5,167
2,93,2021,9,26,2021-09-26,5,65
2,94,2021,9,30,2021-09-30,8,28
2,95,2021,10,2,2021-10-02,7,120
2,96,2021,10,7,2021-10-07,4,72
2,97,2021,10,7,2021-10-07,7,32
2,98,2021,10,18,2021-10-18,10,33
2,99,2021,10,24,2021-10-24,4,267
2,100,2021,10,28,2021-10-28,9,0
2,101,2021,11,4,2021-11-04,9,8
2,102,2021,11,13,2021-11-13,1,55
2,103,2022,1,2,2022-01-02,4,38
2,104,2022,1,4,2022-01-04,1,392
2,105,2022,1,5,2022-01-05,7,225
2,106,2022,1,6,2022-01-06,8,24
2,107,2022,1,18,2022-01-18,7,1647
3,108,2021,2,8,2021-02-08,6,85
3,109,2021,2,15,2021-02-15,3,2913
3,110,2021,2,18,2021-02-18,4,46
3,111,2021,2,22,2021-02-22,8,16
3,112,2021,2,25,2021-02-25,3,54
3,113,2021,3,1,2021-03-01,5,1945
3,114,2021,3,4,2021-03-04,6,405
