year,month,region,k_declarations
2004,1,1,0
2005,1,1,0
2006,1,1,0
2007,1,1,0
2008,1,1,0
2009,1,1,4
2010,1,1,0
2011,1,1,0
2012,1,1,1
2013,1,1,0
2014,1,1,1
2015,1,1,0
2016,1,1,0
2017,1,1,0
2018,1,1,3
2019,1,1,0
2020,1,1,1
2004,2,1,1
2005,2,1,0
2006,2,1,0
2007,2,1,0
2008,2,1,0
2009,2,1,0
2010,2,1,0
2011,2,1,1
2012,2,1,0
2013,2,1,0
2014,2,1,0
2015,2,1,1
2016,2,1,0
2017,2,1,0
2018,2,1,0
2019,2,1,0
2020,2,1,0
2004,3,1,0
2005,3,1,0
2006,3,1,0
2007,3,1,0
2008,3,1,0
2009,3,1,0
2010,3,1,4
2011,3,1,2
2012,3,1,0
2013,3,1,4
2014,3,1,0
2015,3,1,2
2016,3,1,0
2017,3,1,0
2018,3,1,0
2019,3,1,0
2020,3,1,3
2004,4,1,1
2005,4,1,0
2006,4,1,0
2007,4,1,3
2008,4,1,0
2009,4,1,0
2010,4,1,1
2011,4,1,0
2012,4,1,0
2013,4,1,1
2014,4,1,0
2015,4,1,3
2016,4,1,0
2017,4,1,0
2018,4,1,0
2019,4,1,0
2020,4,1,3
2004,5,1,0
2005,5,1,0
2006,5,1,3
2007,5,1,4
2008,5,1,1
2009,5,1,0
2010,5,1,1
2011,5,1,0
2012,5,1,0
2013,5,1,0
2014,5,1,0
2015,5,1,0
2016,5,1,0
2017,5,1,0
2018,5,1,1
2019,5,1,0
2020,5,1,0
2004,6,1,0
2005,6,1,1
2006,6,1,0
2007,6,1,0
2008,6,1,0
2009,6,1,0
2010,6,1,0
2011,6,1,2
2012,6,1,2
2013,6,1,1
2014,6,1,1
2015,6,1,0
2016,6,1,0
2017,6,1,1
2018,6,1,3
2019,6,1,1
2020,6,1,0
2004,7,1,0
2005,7,1,0
2006,7,1,0
2007,7,1,0
2008,7,1,1
2009,7,1,1
2010,7,1,1
2011,7,1,2
2012,7,1,0
2013,7,1,0
2014,7,1,0
2015,7,1,1
2016,7,1,0
2017,7,1,0
2018,7,1,2
2019,7,1,0
2020,7,1,0
2004,8,1,0
2005,8,1,0
2006,8,1,0
2007,8,1,2
2008,8,1,2
2009,8,1,0
2010,8,1,0
2011,8,1,0
2012,8,1,0
2013,8,1,2
2014,8,1,0
2015,8,1,0
2016,8,1,0
2017,8,1,2
2018,8,1,1
2019,8,1,1
2020,8,1,0
2004,9,1,1
2005,9,1,0
2006,9,1,0
2007,9,1,0
2008,9,1,3
2009,9,1,0
2010,9,1,0
2011,9,1,6
2012,9,1,0
2013,9,1,0
2014,9,1,0
2015,9,1,0
2016,9,1,0
2017,9,1,0
2018,9,1,0
2019,9,1,0
2020,9,1,0
2004,10,1,0
2005,10,1,1
2006,10,1,0
2007,10,1,0
2008,10,1,1
2009,10,1,0
2010,10,1,0
2011,10,1,0
2012,10,1,1
2013,10,1,0
2014,10,1,0
2015,10,1,0
2016,10,1,0
2017,10,1,0
2018,10,1,0
2019,10,1,0
2020,10,1,0
2004,11,1,0
2005,11,1,1
2006,11,1,0
2007,11,1,0
