disaster_number,region,state,area_declarations,ih_program_declarations,ia_program_declarations,ia_or_ih_program_declarations,pa_program_declarations,hm_program_declarations,ih_declared,ia_declared,ia_or_ih_declared,pa_declared,hm_declared,min_declaration_date,max_close_out_date,square_miles_in_declared_area,censored_sqaure_miles,pa_projects,pa_applicants,pa_amount,pa_federal_share_obligated,pa_total_obligated,ia_registrations,ia_valid_call_center_registrations,ia_valid_web_registrations,ia_valid_mobile_registrations,ia_ihp_referrals,ia_ihp_eligible,ia_ihp_amount,ia_ha_referrals,ia_ha_eligible,ia_ha_amount,ia_ona_referrals,ia_ona_eligible,ia_ona_amount,ia_amount,hm_number_of_properties,hm_projects,hm_number_of_final_properties,hm_project_amount,total_amount,right_censored_total_amount,log_total_amount,scaled_log_total_amount,year,month,nonzero_pa_projects,nonzero_ia_registrations
1,4,GA,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-05-02,1954-06-01,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,5,NA,NA
2,6,TX,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-05-15,1958-01-01,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,5,NA,NA
3,6,LA,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-05-29,1960-02-01,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,5,NA,NA
4,5,MI,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-06-02,1956-02-01,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,6,NA,NA
5,8,MT,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-06-06,1955-12-01,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,6,NA,NA
6,5,MI,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-06-09,1956-03-30,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,6,NA,NA
7,1,MA,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-06-11,1956-06-01,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,6,NA,NA
8,7,IA,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-06-11,1955-11-01,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,6,NA,NA
9,6,TX,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-06-19,1958-01-01,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,6,NA,NA
11,1,NH,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-07-02,1956-02-01,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,7,NA,NA
12,4,FL,1,0,1,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,1953-10-22,1956-05-01,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,1953,10,NA,NA
