simulated_period,simulated_disaster,year,month,day,date,region,pa_projects,ia_registrations
1,1,2021,2,27,2021-02-27,6,481,0
1,2,2021,3,1,2021-03-01,2,1381,0
1,3,2021,3,5,2021-03-05,7,397,0
1,4,2021,3,7,2021-03-07,7,123,0
1,5,2021,3,9,2021-03-09,9,27,0
1,6,2021,3,13,2021-03-13,8,1013,0
1,7,2021,3,17,2021-03-17,5,552,1823
1,8,2021,3,20,2021-03-20,3,251,0
1,9,2021,3,20,2021-03-20,3,399,0
1,10,2021,3,25,2021-03-25,5,603,0
1,11,2021,3,28,2021-03-28,5,258,0
1,12,2021,3,30,2021-03-30,4,748,19527
1,13,2021,3,31,2021-03-31,5,928,18155
1,14,2021,4,1,2021-04-01,6,28,0
1,15,2021,4,7,2021-04-07,10,364,0
1,16,2021,4,19,2021-04-19,2,998,194
1,17,2021,4,23,2021-04-23,7,86,0
1,18,2021,4,27,2021-04-27,2,187,181
1,19,2021,4,28,2021-04-28,4,102,21352
1,20,2021,4,29,2021-04-29,7,476,5694
1,21,2021,4,30,2021-04-30,5,333,0
1,22,2021,5,11,2021-05-11,8,93,0
1,23,2021,5,26,2021-05-26,4,1011,24821
1,24,2021,5,29,2021-05-29,1,6327,777
1,25,2021,6,10,2021-06-10,5,3414,15700
1,26,2021,6,13,2021-06-13,6,89,0
1,27,2021,6,19,2021-06-19,6,175,0
1,28,2021,6,25,2021-06-25,5,227,0
1,29,2021,7,13,2021-07-13,10,46,0
1,30,2021,8,5,2021-08-05,9,50,7837
1,31,2021,8,14,2021-08-14,4,150,0
1,32,2021,8,23,2021-08-23,7,258,0
1,33,2021,8,24,2021-08-24,3,8,0
1,34,2021,8,27,2021-08-27,6,117,0
1,35,2021,8,27,2021-08-27,9,66,0
1,36,2021,8,28,2021-08-28,1,45,0
1,37,2021,8,31,2021-08-31,1,35,0
1,38,2021,8,31,2021-08-31,1,73,0
1,39,2021,8,31,2021-08-31,3,34,0
1,40,2021,9,5,2021-09-05,10,461,0
1,41,2021,9,6,2021-09-06,6,241,0
1,42,2021,10,1,2021-10-01,1,153,0
1,43,2021,10,8,2021-10-08,5,16,0
1,44,2021,10,10,2021-10-10,7,157,0
1,45,2021,10,18,2021-10-18,7,101,0
1,46,2021,10,30,2021-10-30,5,1015,0
1,47,2021,10,31,2021-10-31,7,62,0
1,48,2021,11,21,2021-11-21,4,7,0
1,49,2021,12,8,2021-12-08,9,76,0
1,50,2021,12,10,2021-12-10,9,61,0
1,51,2021,12,18,2021-12-18,4,50,0
1,52,2021,12,31,2021-12-31,10,170,0
1,53,2022,1,5,2022-01-05,9,47,0
1,54,2022,1,12,2022-01-12,2,619,0
1,55,2022,1,15,2022-01-15,1,453,1255
1,56,2022,1,26,2022-01-26,4,487,16007
1,57,2022,2,11,2022-02-11,7,1509,0
2,58,2021,3,7,2021-03-07,10,638,0
2,59,2021,3,12,2021-03-12,6,42,0
2,60,2021,3,31,2021-03-31,6,41,0
2,61,2021,4,2,2021-04-02,10,14,0
2,62,2021,4,5,2021-04-05,3,262,0
2,63,2021,4,7,2021-04-07,2,213,0
2,64,2021,4,19,2021-04-19,2,1095,0
2,65,2021,4,24,2021-04-24,8,150,0
2,66,2021,4,25,2021-04-25,2,309,0
2,67,2021,5,19,2021-05-19,3,238,0
2,68,2021,6,5,2021-06-05,8,884,0
2,69,2021,6,6,2021-06-06,9,37,0
2,70,2021,6,15,2021-06-15,8,70,0
2,71,2021,6,19,2021-06-19,3,284,0
2,72,2021,6,19,2021-06-19,8,1662,36367
2,73,2021,6,27,2021-06-27,8,307,0
2,74,2021,7,10,2021-07-10,9,14,0
2,75,2021,7,25,2021-07-25,7,126,0
2,76,2021,7,30,2021-07-30,8,490,0
2,77,2021,8,5,2021-08-05,2,400,0
2,78,2021,8,9,2021-08-09,8,7,0
2,79,2021,8,10,2021-08-10,1,190,0
2,80,2021,8,15,2021-08-15,4,93,0
2,81,2021,8,17,2021-08-17,4,308,87379
2,82,2021,8,24,2021-08-24,4,849,49881
2,83,2021,8,27,2021-08-27,8,15,0
2,84,2021,8,27,2021-08-27,8,145,0
2,85,2021,9,3,2021-09-03,3,306,0
2,86,2021,9,7,2021-09-07,3,40,0
2,87,2021,9,8,2021-09-08,3,1060,0
2,88,2021,9,13,2021-09-13,8,1069,0
2,89,2021,9,16,2021-09-16,4,80,0
2,90,2021,9,20,2021-09-20,8,6,0
2,91,2021,9,27,2021-09-27,4,306,876
2,92,2021,9,28,2021-09-28,8,266,11054
2,93,2021,9,30,2021-09-30,3,2516,0
2,94,2021,10,15,2021-10-15,1,49,0
2,95,2021,10,27,2021-10-27,7,456,0
2,96,2021,10,29,2021-10-29,7,131,0
2,97,2021,11,13,2021-11-13,4,110,150
2,98,2021,11,15,2021-11-15,5,876,0
2,99,2021,11,24,2021-11-24,1,677,9831
2,100,2021,12,7,2021-12-07,6,184,0
2,101,2021,12,29,2021-12-29,1,119,0
2,102,2022,1,12,2022-01-12,8,27,0
2,103,2022,1,22,2022-01-22,8,27,0
2,104,2022,1,23,2022-01-23,6,175,0
2,105,2022,2,11,2022-02-11,1,728,0
3,106,2021,2,24,2021-02-24,4,150,0
3,107,2021,2,24,2021-02-24,9,56,0
3,108,2021,2,28,2021-02-28,4,251,1404
3,109,2021,3,5,2021-03-05,4,1642,51091
3,110,2021,3,13,2021-03-13,3,360,0
3,111,2021,3,17,2021-03-17,8,1085,0
3,112,2021,3,19,2021-03-19,3,244,0
3,113,2021,3,19,2021-03-19,7,177,0
3,114,2021,3,19,2021-03-19,10,182,1028
3,115,2021,3,23,2021-03-23,3,141,0
3,116,2021,3,25,2021-03-25,5,244,0
3,117,2021,3,26,2021-03-26,4,15,0
3,118,2021,4,4,2021-04-04,10,266,0
